path,pred_label,conf_pct,top3_labels,top3_conf
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f8f.jpg,HP,100.00,HP;EpsonV370-1;EpsonV370-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f90.jpg,HP,100.00,HP;EpsonV370-1;EpsonV370-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f92.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f93.jpg,HP,99.99,HP;EpsonV550;EpsonV370-2,99.99;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f94.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f95.jpg,HP,99.96,HP;EpsonV370-1;EpsonV370-2,99.96;0.02;0.01
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f96.jpg,HP,100.00,HP;EpsonV370-1;EpsonV39-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f97.jpg,HP,99.99,HP;EpsonV370-2;EpsonV550,99.99;0.01;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f98.jpg,HP,100.00,HP;EpsonV370-1;EpsonV370-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f99.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f9a.jpg,HP,100.00,HP;EpsonV370-1;Canon120-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f9b.jpg,HP,100.00,HP;EpsonV370-2;EpsonV39-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f9c.jpg,HP,100.00,HP;EpsonV39-2;EpsonV370-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f9d.jpg,HP,99.86,HP;EpsonV370-1;EpsonV370-2,99.86;0.07;0.05
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f9e.jpg,HP,100.00,HP;EpsonV370-1;EpsonV370-2,100.00;0.00;0.00
